French,English
partie,part
histoire,history
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
donné,given
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
chambre,bedroom
belle,beautiful
droit,law
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
dirait,would say
donne,given
fin,end
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
bureau,office
